author/url,author/userName,createdAt,text,url
https://x.com/BradFireborn,BradFireborn,Fri Mar 31 19:01:35 +0000 2017,"RT aboveandbeyond ""14. MichaelWoods making us all look forward to the summer season, ‘Legato’ (DiffusedMusic) #ABG… https://t.co/e13zdLSQmX""",https://x.com/BradFireborn/status/847886611694182401
https://x.com/StephanieAbg,StephanieAbg,Fri Mar 31 18:59:47 +0000 2017,@MirandaSings livestream bxxxtch,https://x.com/StephanieAbg/status/847886157023248384
https://x.com/The_Dreme,The_Dreme,Fri Mar 31 18:56:51 +0000 2017,You may finally decide to show your hand today. Although you w... More for Taurus https://t.co/YCbSINu1TB,https://x.com/The_Dreme/status/847885417869225986
https://x.com/alifhakimazhar,alifhakimazhar,Fri Mar 31 18:54:49 +0000 2017,black &amp; white @ D'RA 28  Rooftop Parkson https://t.co/VEmc2HEzZ1,https://x.com/alifhakimazhar/status/847884907045036032
https://x.com/abg324,abg324,Fri Mar 31 18:52:36 +0000 2017,@ColleenB123 followww meeee,https://x.com/abg324/status/847884348661673985
https://x.com/abg324,abg324,Fri Mar 31 18:50:18 +0000 2017,@ColleenB123 Followww meeeee,https://x.com/abg324/status/847883769042350081
https://x.com/abg324,abg324,Fri Mar 31 18:49:32 +0000 2017,@ColleenB123 Follow me pls,https://x.com/abg324/status/847883578600026112
https://x.com/abg324,abg324,Fri Mar 31 18:49:26 +0000 2017,@ColleenB123 Follow me!,https://x.com/abg324/status/847883553169973248
https://x.com/abg324,abg324,Fri Mar 31 18:34:12 +0000 2017,@ColleenB123 follow me,https://x.com/abg324/status/847879720461103106
https://x.com/zulkapan87,zulkapan87,Fri Mar 31 18:33:15 +0000 2017,@koochipunk Hahahaha,https://x.com/zulkapan87/status/847879480169250817
https://x.com/_gaiillxabbi,_gaiillxabbi,Fri Mar 31 18:31:31 +0000 2017,If you and your friends don't have conversations like this then wyd 👋🏼 https://t.co/4HjKYLqzYl,https://x.com/_gaiillxabbi/status/847879045417021440
https://x.com/AbramBrynGates5,AbramBrynGates5,Fri Mar 31 18:22:35 +0000 2017,Class 5 have also had to say goodbye to our classmate Aaron. We wish him the best of luck in his new school. We know he will be amazing!,https://x.com/AbramBrynGates5/status/847876795785498624
https://x.com/AbramBrynGates5,AbramBrynGates5,Fri Mar 31 18:21:26 +0000 2017,We've had a sad day saying goodbye to Mr Sheekey today. We will all miss him so much. #retirement #bestheadteacher,https://x.com/AbramBrynGates5/status/847876505120145408
https://x.com/_Gross_ABG,_Gross_ABG,Fri Mar 31 18:15:56 +0000 2017,one person unfollowed me // automatically checked by https://t.co/56P4mtfOBE,https://x.com/_Gross_ABG/status/847875123797520385
https://x.com/abgcapital,abgcapital,Fri Mar 31 18:08:51 +0000 2017,Congrats to our new #EmployeeOfTheMonth @InspiraFS Client Service Representative Rhonda Taylor-Boles! https://t.co/kRlJR4G9yY,https://x.com/abgcapital/status/847873340668878848
https://x.com/_a1abg_,_a1abg_,Fri Mar 31 17:58:35 +0000 2017,I'm to dead😂 https://t.co/QXfFT5uoA8,https://x.com/_a1abg_/status/847870754456838147
https://x.com/TeeOneZeeABG,TeeOneZeeABG,Fri Mar 31 17:57:24 +0000 2017,"... on the plus side, I caught a Combee, a Kricketune, a Bronzor, Buizel? Some little electric rat thing, a Tauros.. #GottaCatchemAll #Biach",https://x.com/TeeOneZeeABG/status/847870457466548225
https://x.com/firanadd,firanadd,Fri Mar 31 17:56:22 +0000 2017,I just miss my ali omar abg adik n ola soooooo much. 😔😔😔 https://t.co/t3Ctm60YzW,https://x.com/firanadd/status/847870197235040256
https://x.com/TeeOneZeeABG,TeeOneZeeABG,Fri Mar 31 17:55:29 +0000 2017,Im still sick,https://x.com/TeeOneZeeABG/status/847869976316968962
https://x.com/preciouskaay,preciouskaay,Thu Jan 19 04:11:50 +0000 2017,@Jdguzmnmua Asian baby girl lmao.,https://x.com/preciouskaay/status/821933160837431296
https://x.com/amperg33,amperg33,Tue Jan 10 21:24:04 +0000 2017,@ira calls a Asian baby girl a prop! https://t.co/eusfnv076X,https://x.com/amperg33/status/818931438687023105
https://x.com/shheeiillzz,shheeiillzz,Tue Jan 10 03:20:11 +0000 2017,Who needs to be an Asian Baby Girl when you could be a Meme Baby Girl?,https://x.com/shheeiillzz/status/818658671244689408
https://x.com/Abcdefgerilyn,Abcdefgerilyn,Fri Jan 06 16:02:31 +0000 2017,"When :-) you :-) got :-) ABG :-) (asian baby girl) genes :-)......and you work at a bank, I'm literally like...... a 5 year old handling $$$",https://x.com/Abcdefgerilyn/status/817400966420910081
https://x.com/headasstweakers,headasstweakers,Wed Jan 04 02:10:26 +0000 2017,Are u tryna be my Asian baby girl ?? — LMAOOOO. I'm good thanks for the offer though  https://t.co/WmYSdg2Wel,https://x.com/headasstweakers/status/816466787642593280
https://x.com/runnit7,runnit7,Tue Jan 03 18:32:53 +0000 2017,Asian baby girl at the clinic had me speaking in tongues 🐊,https://x.com/runnit7/status/816351643901956096
https://x.com/nguyenhopes,nguyenhopes,Tue Jan 03 05:40:02 +0000 2017,Why try to be an Asian Baby Girl when you can be an Anna Baby Girl?! JUST KIDDING!… https://t.co/EP556zUCEs,https://x.com/nguyenhopes/status/816157151282470912
https://x.com/chrisgvrciv,chrisgvrciv,Tue Jan 03 04:15:32 +0000 2017,Lemme be ya Asian baby girl 🖤 — HIT MY DM https://t.co/f21eVP7Ndm,https://x.com/chrisgvrciv/status/816135883346898944
https://x.com/jvlngv,jvlngv,Mon Jan 02 18:46:23 +0000 2017,"Honestly sick and tired of walking into work and having cars drive past yelling ""hey Asian baby girl"" and other slurs of that sort #pls",https://x.com/jvlngv/status/815992652734705664
https://x.com/ninzyb,ninzyb,Mon Jan 02 05:46:47 +0000 2017,Lemme be yo ABG (asian baby girl),https://x.com/ninzyb/status/815796461635977216
https://x.com/alex_ocampooo,alex_ocampooo,Thu Dec 29 06:55:50 +0000 2016,"And if we look over here, we have a prime example of an ABG, which if you didn't know, stands for Asian Baby Girl :) https://t.co/u4K3xX7Ovv",https://x.com/alex_ocampooo/status/814364285811855360
https://x.com/shaebears,shaebears,Sat Dec 24 16:55:35 +0000 2016,this cute little asian baby girl 😭,https://x.com/shaebears/status/812703278760759296
